"Canada Mortgage and Housing Corporation, average rents for areas with a population of 10,000 and over 1 2 3"
"Frequency: Annual"
"Table: 34-10-0133-01 (formerly CANSIM 027-0040)"
"Release date: 2022-02-21"
"Geography: Census subdivision, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Type of structure","Row and apartment structures of three units and over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Row structures of three units and over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apartment structures of three units and over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Type of unit","One bedroom units",,,,,,,,,,,"Two bedroom units",,,,,,,,,,,"Three bedroom units",,,,,,,,,,,"One bedroom units",,,,,,,,,,,"Two bedroom units",,,,,,,,,,,"Three bedroom units",,,,,,,,,,,"One bedroom units",,,,,,,,,,,"Two bedroom units",,,,,,,,,,,"Three bedroom units",,,,,,,,,,
"Geography","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bay Roberts, Newfoundland and Labrador","F","F","F","F","F","515","F","F","F","F","F","561","563","603","659","615","621","593","642","665","656","696","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","561","563","593","632","575","F","591","621","628","F","677","F","F","F","F","F","F","F","F","F","F","F"
"Corner Brook, Newfoundland and Labrador","503","521","551","574","582","610","610","612","632","643","654","584","610","705","739","733","756","760","759","771","813","814","734","738","795","769","798","835","858","821","870","829","857","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","507","527","556","574","582","610","610","612","632","643","654","584","610","706","743","733","756","760","759","774","813","814","737","740","798","776","798","813","843","821","818","829","854"
"Gander, Newfoundland and Labrador","F","533","567","571","581","594","600","584","628","627","611","F","642","680","687","709","718","732","727","761","761","796","663","684","696","694","721","732","754","771","771","782","F","F","F","F","F","F","F","F","F","F","F","F","F","842","860","858","880","893","902","871","924","893","1,036","F","F","F","F","F","F","F","F","F","F","F","F","533","567","571","581","594","600","584","628","627","611","F","596","638","645","660","668","683","681","698","709","698","663","684","696","694","721","732","754","771","771","782","F"
"Grand Falls-Windsor, Newfoundland and Labrador","528","535","543","594","604","623","616","633","655","654","637","677","696","716","745","756","768","757","765","797","799","800","590","608","629","684","719","698","718","727","776","798","789","F","F","F","F","F","F","F","F","F","F","F","784","826","813","771","849","861","828","838","872","869","871","573","589","613","677","718","683","710","719","773","795","770","520","533","543","594","604","623","620","633","655","654","641","646","659","683","736","721","729","724","733","759","762","759","F","F","F","F","F","F","749","773","F","F","905"
"St. John's, Newfoundland and Labrador","655","696","725","755","784","786","774","781","812","812","856","770","796","859","887","919","951","934","955","960","971","1,018","838","895","899","976","971","918","906","944","940","977","995","487","519","529","530","F","598","578","578","624","619","645","752","748","716","860","806","749","774","839","849","912","882","F","F","F","F","F","F","F","F","F","F","F","666","709","739","770","798","799","786","791","823","823","873","771","798","864","888","923","958","941","961","966","974","1,026","819","854","870","930","902","888","871","895","903","937","957"
"Charlottetown, Prince Edward Island","602","632","649","672","685","704","734","755","780","820","836","762","804","805","837","834","876","911","937","962","1,013","1,119","928","972","985","972","990","1,015","1,040","1,059","1,110","1,163","1,201","F","F","F","F","F","F","F","F","F","F","F","780","855","832","863","927","961","1,110","1,186","1,301","1,421","1,453","949","990","1,001","996","1,020","1,061","1,054","1,091","1,150","1,188","1,231","602","631","649","671","685","703","733","755","779","819","836","761","803","804","836","830","872","901","921","937","978","1,088","906","952","969","947","966","970","1,022","1,025","1,070","1,121","1,167"
"Summerside, Prince Edward Island","485","495","515","556","592","590","607","796","719","697","732","678","717","735","756","773","782","810","842","860","889","912","707","720","740","762","774","771","783","778","800","809","816","382","390","406","478","512","491","498","510","492","535","545","726","772","805","845","915","914","941","944","928","978","967","705","716","732","759","776","765","780","760","777","788","785","524","534","555","581","614","620","633","860","772","748","788","671","707","722","737","734","744","772","808","837","859","897","714","735","772","775","765","793","798","837","873","872","943"
"Cape Breton, Nova Scotia","548","580","593","606","601","611","615","625","684","690","715","685","712","724","741","750","744","773","775","809","807","835","883","826","890","953","1,074","950","962","969","999","1,077","1,231","F","F","F","F","F","F","F","F","F","F","F","619","720","765","763","767","829","913","738","856","882","F","F","F","F","F","F","F","F","F","F","F","F","547","580","595","607","601","612","616","626","675","694","721","686","712","722","740","749","739","765","777","806","802","834","883","826","890","953","1,074","950","962","969","999","1,077","1,231"
"Chester, Nova Scotia","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
